Distance	Replicate	Day	Trapped	Released
00	1	1	54	200
00	1	2	15	200
00	1	3	2	200
00	1	4	0	200
00	1	5	0	200
00	2	1	28	100
00	2	2	9	100
00	2	3	1	100
00	2	4	0	100
00	2	5	0	100
00	3	1	37	150
00	3	2	12	150
00	3	3	0	150
00	3	4	0	150
00	3	5	0	150
20	1	1	32	200
20	1	2	20	200
20	1	3	0	200
20	1	4	0	200
20	1	5	1	200
20	2	1	11	100
20	2	2	5	100
20	2	3	0	100
20	2	4	0	100
20	2	5	0	100
20	3	1	17	150
20	3	2	18	150
20	3	3	0	150
20	3	4	0	150
20	3	5	0	150
40	1	1	28	200
40	1	2	9	200
40	1	3	0	200
40	1	4	0	200
40	1	5	0	200
40	2	1	9	100
40	2	2	3	100
40	2	3	0	100
40	2	4	0	100
40	2	5	0	100
40	3	1	5	150
40	3	2	4	150
40	3	3	0	150
40	3	4	0	150
40	3	5	0	150
60	1	1	10	200
60	1	2	12	200
60	1	3	1	200
60	1	4	0	200
60	1	5	0	200
60	2	1	10	100
60	2	2	3	100
60	2	3	0	100
60	2	4	0	100
60	2	5	0	100
60	3	1	7	150
60	3	2	7	150
60	3	3	0	150
60	3	4	0	150
60	3	5	0	150
80	1	1	2	200
80	1	2	0	200
80	1	3	2	200
80	1	4	0	200
80	1	5	0	200
80	2	1	2	100
80	2	2	1	100
80	2	3	1	100
80	2	4	0	100
80	2	5	0	100
80	3	1	0	150
80	3	2	7	150
80	3	3	0	150
80	3	4	0	150
80	3	5	0	150
100	1	1	1	200
100	1	2	0	200
100	1	3	0	200
100	1	4	0	200
100	1	5	0	200
100	2	1	2	100
100	2	2	0	100
100	2	3	0	100
100	2	4	0	100
100	2	5	0	100
100	3	1	0	150
100	3	2	0	150
100	3	3	3	150
100	3	4	0	150
100	3	5	0	150
120	1	1	1	200
120	1	2	0	200
120	1	3	0	200
120	1	4	0	200
120	1	5	0	200
120	2	1	2	100
120	2	2	0	100
120	2	3	0	100
120	2	4	0	100
120	2	5	0	100
120	3	1	0	150
120	3	2	0	150
120	3	3	0	150
120	3	4	0	150
120	3	5	0	150
150	1	1	0	200
150	1	2	0	200
150	1	3	0	200
150	1	4	0	200
150	1	5	0	200
150	2	1	0	100
150	2	2	0	100
150	2	3	0	100
150	2	4	0	100
150	2	5	0	100
150	3	1	0	150
150	3	2	0	150
150	3	3	0	150
150	3	4	0	150
150	3	5	0	150
